experiment,structure,K,rho,d,method,claims_target,basis,reps,seed,latent_hits,latent_coverage,latent_mcse,observed_coverage,mean_radius
exp01,noise_far_more_correlated,250,0.52,8,observed_anchor,T1,exchangeability of observed curves,4000,13309866208636479341,3871,0.96775,0.00279329275,0.9015,2.88364377
exp01,noise_far_more_correlated,250,0.52,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,13309866208636479341,4000,1,0,0.99975,4.86942455
exp01,noise_far_more_correlated,250,0.52,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,13309866208636479341,3581,0.89525,0.00484193756,0.77675,2.46311122
exp01,noise_far_more_correlated,250,0.52,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,13309866208636479341,3605,0.90125,0.00471694916,0.78525,2.48867064
exp01,noise_far_more_correlated,250,0.8,8,observed_anchor,T1,exchangeability of observed curves,4000,6347630148941673726,3997,0.99925,0.000432850292,0.89725,3.89238828
exp01,noise_far_more_correlated,250,0.8,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,6347630148941673726,4000,1,0,1,8.04211091
exp01,noise_far_more_correlated,250,0.8,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,6347630148941673726,3437,0.85925,0.00549862341,0.45975,2.33543297
exp01,noise_far_more_correlated,250,0.8,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,6347630148941673726,3618,0.9045,0.00464703535,0.5195,2.48862386
exp01,noise_equi_latent_ar1,30,0.29,8,observed_anchor,T1,exchangeability of observed curves,4000,11620612272048289039,3724,0.931,0.00400746179,0.90325,2.63897965
exp01,noise_equi_latent_ar1,30,0.29,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,11620612272048289039,3995,0.99875,0.0005586675,0.99675,3.98785542
exp01,noise_equi_latent_ar1,30,0.29,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,11620612272048289039,3615,0.90375,0.0046633126,0.876,2.52557384
exp01,noise_equi_latent_ar1,30,0.29,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,11620612272048289039,3616,0.904,0.00465789652,0.88,2.52908443
exp01,noise_equi_latent_ar1,30,0.4,8,observed_anchor,T1,exchangeability of observed curves,4000,16431629251864112673,3781,0.94525,0.00359695835,0.906,2.74891432
exp01,noise_equi_latent_ar1,30,0.4,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,16431629251864112673,3999,0.99975,0.000249968748,0.99975,4.48426287
exp01,noise_equi_latent_ar1,30,0.4,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,16431629251864112673,3597,0.89925,0.00475918684,0.8485,2.51942159
exp01,noise_equi_latent_ar1,30,0.4,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,16431629251864112673,3617,0.90425,0.00465247078,0.848,2.53069691
exp01,noise_equi_latent_ar1,30,0.52,8,observed_anchor,T1,exchangeability of observed curves,4000,16841043194758315837,3879,0.96975,0.00270808685,0.9035,2.92608972
exp01,noise_equi_latent_ar1,30,0.52,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,16841043194758315837,4000,1,0,1,5.17608365
exp01,noise_equi_latent_ar1,30,0.52,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,16841043194758315837,3569,0.89225,0.00490254876,0.783,2.49936711
exp01,noise_equi_latent_ar1,30,0.52,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,16841043194758315837,3627,0.90675,0.00459767434,0.798,2.52869546
exp01,noise_equi_latent_ar1,30,0.8,8,observed_anchor,T1,exchangeability of observed curves,4000,9833685627293833079,3994,0.9985,0.000611912984,0.89325,3.98606642
exp01,noise_equi_latent_ar1,30,0.8,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,9833685627293833079,4000,1,0,1,8.52658718
